"age_A","age_B","height_A","height_B","reach_A","reach_B","stance_A","stance_B","won_A","won_B","lost_A","lost_B","drawn_A","drawn_B","kos_A","kos_B","decision","decision_group"
0.259243418464761,-0.0185881180761048,0.966999648233081,0.433520067016854,0.153676201244436,0.236393823269231,"orthodox","orthodox",0.561528745290332,1.17624528634244,-0.716582526429991,-0.538362477561018,-0.448000271589451,-0.0279732840958088,1.41634589141157,1.4999689202809,"SD","POINTS"
-0.053317060143713,0.120327650194328,0.433520067016854,1.76721902005742,0.236393823269231,0.732699555418002,"orthodox","orthodox",1.12501890792143,1.22747166476345,-0.538362477561018,-0.360142428692046,-0.0279732840958088,-0.0279732840958088,1.4999689202809,1.33272286254225,"UD","POINTS"
-0.0880460022113213,0.0508697660591118,0.433520067016854,0.300150171712797,0.236393823269231,0.319111445294026,"orthodox","orthodox",1.02256615107941,0.25417047476428,-0.538362477561018,-0.181922379823073,-0.0279732840958088,-0.448000271589451,1.33272286254225,0.24562348724102,"KO","KO"
-0.157503886346538,0.120327650194328,0.433520067016854,0.433520067016854,0.236393823269231,0.980852421492387,"orthodox","orthodox",0.868887015816385,-0.360546066287825,-0.538362477561018,-0.538362477561018,-0.0279732840958088,0.392053703397834,1.24909983367292,-0.339737714844257,"SD","POINTS"
-0.226961770481754,0.432888128802803,0.433520067016854,0.300150171712797,0.236393823269231,0.319111445294026,"orthodox","orthodox",0.66398150213235,1.02256615107941,-0.716582526429991,0.530957815652817,-0.0279732840958088,-0.0279732840958088,1.08185377593427,1.91808406462752,"UD","POINTS"
-0.226961770481754,0.155056592261937,0.433520067016854,1.10036954353714,0.236393823269231,0.980852421492387,"orthodox","orthodox",0.612755123711341,0.356623231606297,-0.716582526429991,-0.00370233095410085,-0.0279732840958088,-0.0279732840958088,0.998230747064947,0.998230747064947,"TKO","KO"
-0.331148596684579,-0.053317060143713,0.433520067016854,1.10036954353714,0.236393823269231,0.980852421492387,"orthodox","orthodox",-0.0531877957617723,-0.15564055260379,-0.716582526429991,-0.360142428692046,-0.0279732840958088,-0.448000271589451,0.162000458371695,0.41286954497967,"TKO","KO"
-0.331148596684579,0.0161408239915035,0.433520067016854,0.16678027640874,0.236393823269231,0.567264311368412,"orthodox","orthodox",-0.206866931024799,-0.514225201550851,-0.716582526429991,-0.538362477561018,-0.0279732840958088,-0.448000271589451,-0.0888686282362808,-0.0888686282362808,"TKO","KO"
0.0161408239915035,0.189785534329545,0.16678027640874,-0.366699304807487,0.153676201244436,0.567264311368412,"orthodox","orthodox",-0.00196141734076363,0.151717717922263,-0.716582526429991,-0.538362477561018,-0.448000271589451,-0.448000271589451,0.162000458371695,0.329246516110345,"TKO","KO"
-0.157503886346538,0.08559870812672,0.16678027640874,-0.900178886023714,0.153676201244436,-0.673500019003515,"orthodox","orthodox",-0.667904336813877,-0.309319687866816,-0.716582526429991,1.24383801112871,-0.448000271589451,-0.448000271589451,-0.506983772582907,-0.423360743713582,"TKO","KO"
-0.192232828414146,0.0508697660591118,0.16678027640874,-0.23332940950343,0.153676201244436,-0.59078239697872,"orthodox","orthodox",-0.924036228918921,-0.872809850497912,-0.716582526429991,1.77849815773562,-0.448000271589451,-0.0279732840958088,-0.925098916929533,-0.841475888060208,"TKO","KO"
0.120327650194328,0.120327650194328,0.966999648233081,0.833629752929024,0.153676201244436,0.319111445294026,"orthodox","orthodox",-0.00196141734076363,0.151717717922263,-0.716582526429991,-0.00370233095410085,-0.448000271589451,-0.448000271589451,0.580115602718321,0.329246516110345,"KO","KO"
0.08559870812672,-0.0185881180761048,0.966999648233081,1.10036954353714,0.153676201244436,0.153676201244436,"orthodox","orthodox",-0.15564055260379,0.100491339501254,-0.716582526429991,-0.538362477561018,-0.448000271589451,-0.448000271589451,0.329246516110345,0.41286954497967,"TKO","KO"
0.0508697660591118,-0.053317060143713,-0.0999595141993735,-1.567028362544,0.236393823269231,-1.25252337317708,"orthodox","orthodox",-0.00196141734076363,-0.411772444708833,-0.360142428692046,-0.181922379823073,-0.0279732840958088,-0.0279732840958088,-0.339737714844257,0.0783774295023696,"TKO","KO"
-0.0880460022113213,-0.192232828414146,-1.567028362544,-1.16691867663183,-1.25252337317708,-9.77243844173098,"southpaw","southpaw",-0.719130715234886,-0.872809850497912,-0.181922379823073,0.709177864521789,-0.0279732840958088,0.812080690891476,-0.423360743713582,-1.09234497466818,"TKO","KO"
-0.226961770481754,0.29397236053237,-0.23332940950343,-0.900178886023714,0.319111445294026,-0.25991190887954,"orthodox","orthodox",-0.360546066287825,0.715207880553359,-0.716582526429991,1.77849815773562,-0.448000271589451,0.812080690891476,-0.00524559936695563,0.663738631587646,"TKO","KO"
-0.053317060143713,0.120327650194328,-0.0999595141993735,0.433520067016854,-0.0944766648299494,0.319111445294026,"orthodox","orthodox",-0.104414174182781,0.305396853185289,-0.716582526429991,-0.360142428692046,-0.448000271589451,-0.0279732840958088,0.41286954497967,0.162000458371695,"UD","POINTS"
-0.192232828414146,0.224514476397153,-0.900178886023714,-0.23332940950343,-0.75621764102831,-0.177194286854745,"southpaw","southpaw",-0.15564055260379,0.0492649610802451,-0.716582526429991,-0.716582526429991,-0.448000271589451,0.392053703397834,0.0783774295023696,0.24562348724102,"TKO","KO"
-0.226961770481754,-0.12277494427893,-0.900178886023714,-1.16691867663183,-0.75621764102831,-0.673500019003515,"southpaw","southpaw",-0.360546066287825,0.151717717922263,-0.716582526429991,-0.181922379823073,-0.448000271589451,0.392053703397834,-0.256114685974931,0.496492573848996,"RTD","POINTS"
